Threshold,Accepted,Accuracy
0.5141,0.988,0.7257085020242915
0.5142,0.988,0.7257085020242915
0.5143,0.988,0.7257085020242915
0.5144,0.988,0.7257085020242915
0.5145,0.988,0.7257085020242915
0.5146,0.988,0.7257085020242915
0.5147,0.988,0.7257085020242915
0.5148,0.988,0.7257085020242915
0.5149,0.987,0.7254305977710233
0.515,0.987,0.7254305977710233
0.5151,0.987,0.7254305977710233
0.5152,0.987,0.7254305977710233
0.5153,0.987,0.7254305977710233
0.5154,0.987,0.7254305977710233
0.5155,0.987,0.7254305977710233
0.5156,0.987,0.7254305977710233
0.5157,0.987,0.7254305977710233
0.5158,0.987,0.7254305977710233
0.5159,0.987,0.7254305977710233
0.516,0.987,0.7254305977710233
0.5161,0.986,0.7251521298174443
0.5162,0.986,0.7251521298174443
0.5163,0.986,0.7251521298174443
0.5164,0.986,0.7251521298174443
0.5165,0.986,0.7251521298174443
0.5166,0.986,0.7251521298174443
0.5167,0.986,0.7251521298174443
0.5168,0.986,0.7251521298174443
0.5169,0.986,0.7251521298174443
0.517,0.986,0.7251521298174443
0.5171,0.986,0.7251521298174443
0.5172,0.984,0.7266260162601627
0.5173,0.984,0.7266260162601627
0.5174,0.984,0.7266260162601627
0.5175,0.984,0.7266260162601627
0.5176,0.984,0.7266260162601627
0.5177,0.984,0.7266260162601627
0.5178,0.984,0.7266260162601627
0.5179,0.984,0.7266260162601627
0.518,0.984,0.7266260162601627
0.5181,0.984,0.7266260162601627
0.5182,0.984,0.7266260162601627
0.5183,0.984,0.7266260162601627
0.5184,0.983,0.7263479145473042
0.5185,0.983,0.7263479145473042
0.5186,0.983,0.7263479145473042
0.5187,0.983,0.7263479145473042
0.5188,0.983,0.7263479145473042
0.5189,0.983,0.7263479145473042
0.519,0.983,0.7263479145473042
0.5191,0.983,0.7263479145473042
0.5192,0.983,0.7263479145473042
0.5193,0.983,0.7263479145473042
0.5194,0.982,0.7260692464358453
0.5195,0.982,0.7260692464358453
0.5196,0.982,0.7260692464358453
0.5197,0.982,0.7260692464358453
0.5198,0.982,0.7260692464358453
0.5199,0.982,0.7260692464358453
0.52,0.982,0.7260692464358453
0.5201,0.982,0.7260692464358453
0.5202,0.982,0.7260692464358453
0.5203,0.982,0.7260692464358453
0.5204,0.982,0.7260692464358453
0.5205,0.982,0.7260692464358453
0.5206,0.982,0.7260692464358453
0.5207,0.981,0.7268093781855249
0.5208,0.981,0.7268093781855249
0.5209,0.981,0.7268093781855249
0.521,0.981,0.7268093781855249
0.5211,0.981,0.7268093781855249
0.5212,0.981,0.7268093781855249
0.5213,0.981,0.7268093781855249
0.5214,0.981,0.7268093781855249
0.5215,0.981,0.7268093781855249
0.5216,0.981,0.7268093781855249
0.5217,0.981,0.7268093781855249
0.5218,0.981,0.7268093781855249
0.5219,0.981,0.7268093781855249
0.522,0.981,0.7268093781855249
0.5221,0.981,0.7268093781855249
0.5222,0.981,0.7268093781855249
0.5223,0.981,0.7268093781855249
0.5224,0.981,0.7268093781855249
0.5225,0.981,0.7268093781855249
0.5226,0.981,0.7268093781855249
0.5227,0.981,0.7268093781855249
0.5228,0.981,0.7268093781855249
0.5229,0.981,0.7268093781855249
0.523,0.981,0.7268093781855249
0.5231,0.981,0.7268093781855249
0.5232,0.98,0.7275510204081632
0.5233,0.98,0.7275510204081632
0.5234,0.98,0.7275510204081632
0.5235,0.98,0.7275510204081632
0.5236,0.98,0.7275510204081632
0.5237,0.98,0.7275510204081632
0.5238,0.98,0.7275510204081632
0.5239,0.98,0.7275510204081632
0.524,0.98,0.7275510204081632
0.5241,0.98,0.7275510204081632
0.5242,0.98,0.7275510204081632
0.5243,0.98,0.7275510204081632
0.5244,0.979,0.7272727272727273
0.5245,0.978,0.7269938650306749
0.5246,0.978,0.7269938650306749
0.5246999999999999,0.978,0.7269938650306749
0.5248,0.978,0.7269938650306749
0.5249,0.978,0.7269938650306749
0.525,0.978,0.7269938650306749
0.5251,0.978,0.7269938650306749
0.5252,0.978,0.7269938650306749
0.5253,0.978,0.7269938650306749
0.5254,0.978,0.7269938650306749
0.5255,0.978,0.7269938650306749
0.5256,0.978,0.7269938650306749
0.5257000000000001,0.978,0.7269938650306749
0.5258,0.978,0.7269938650306749
0.5259,0.978,0.7269938650306749
0.526,0.978,0.7269938650306749
0.5261,0.978,0.7269938650306749
0.5262,0.978,0.7269938650306749
0.5263,0.978,0.7269938650306749
0.5264,0.978,0.7269938650306749
0.5265,0.977,0.7267144319344934
0.5266,0.977,0.7267144319344934
0.5267,0.977,0.7267144319344934
0.5268,0.976,0.7264344262295082
0.5269,0.976,0.7264344262295082
0.527,0.976,0.7264344262295082
0.5271,0.975,0.7261538461538461
0.5272,0.975,0.7261538461538461
0.5273,0.975,0.7261538461538461
0.5274,0.975,0.7261538461538461
0.5275,0.975,0.7261538461538461
0.5276,0.975,0.7261538461538461
0.5277,0.975,0.7261538461538461
0.5278,0.975,0.7261538461538461
0.5279,0.975,0.7261538461538461
0.528,0.975,0.7261538461538461
0.5281,0.975,0.7261538461538461
0.5282,0.975,0.7261538461538461
0.5283,0.975,0.7261538461538461
0.5284,0.975,0.7261538461538461
0.5285,0.975,0.7261538461538461
0.5286,0.975,0.7261538461538461
0.5287,0.975,0.7261538461538461
0.5288,0.975,0.7261538461538461
0.5289,0.975,0.7261538461538461
0.529,0.975,0.7261538461538461
0.5291,0.975,0.7261538461538461
